S	BETX	BETY	DX	DPX	ALFX	ALFY	MUX	MUY
-10.1	0.930935025	20.19130707	0.043248739	-1.08E-01	-0.715352774	-2.659213305	-0.349219589	-0.149370347
-10.09	0.94374013	20.27567291	0.041791167	-1.05E-01	-0.73109597	-2.640963078	-0.347465543	-0.149290059
-10.08	0.956856191	20.35980415	0.04036006	-1.02E-01	-0.746855199	-2.622817993	-0.345722226	-0.149209951
-10.07	0.970289946	20.44372177	0.038954798	-9.86E-02	-0.762636781	-2.604778051	-0.343989639	-0.1491302
-10.06	0.98403275	20.52733994	0.037576348	-9.54E-02	-0.778428912	-2.586865187	-0.342268972	-0.149050806
-10.05	0.998096407	20.61070824	0.036223576	-9.22E-02	-0.794243813	-2.5690732	-0.340559987	-0.148971473
-10.04	1.012471914	20.69374275	0.034897409	-8.91E-02	-0.81006968	-2.551422834	-0.338862924	-0.148892616
-10.03	1.02717185	20.77648926	0.033596739	-8.61E-02	-0.825918555	-2.533908367	-0.337177781	-0.148813938
-10.02	1.04218626	20.85887146	0.032322466	-8.31E-02	-0.841778934	-2.516550541	-0.335505752	-0.148735677
-10.01	1.057528377	20.94092941	0.031073518	-8.01E-02	-0.857662857	-2.499343872	-0.33384612	-0.148657535
-10	1.073187828	21.02259064	0.029850762	-7.71E-02	-0.873558462	-2.482309103	-0.332199602	-0.14857993
-9.99	1.089172244	21.10385895	0.028653614	-7.42E-02	-0.889472127	-2.465447426	-0.330566673	-0.148502324
-9.98	1.105489373	21.18475723	0.027481537	-7.14E-02	-0.905409992	-2.448759079	-0.32894638	-0.148425196
-9.97	1.122128129	21.26519966	0.026335325	-6.86E-02	-0.921360195	-2.432265282	-0.327340154	-0.148348246
-9.96	1.139102936	21.34523582	0.025214015	-6.58E-02	-0.937334955	-2.415960789	-0.325747756	-0.148271535
-9.95	1.15640235	21.4247818	0.024118368	-6.31E-02	-0.95332253	-2.399865151	-0.324169664	-0.148195241
-9.94	1.174040914	21.50388908	0.023047444	-6.04E-02	-0.969335079	-2.383974075	-0.322606115	-0.148119126
-9.93	1.192007065	21.58246994	0.02200198	-5.78E-02	-0.985360861	-2.368307591	-0.321057586	-0.14804325
-9.92	1.210315704	21.66057205	0.020981062	-5.52E-02	-1.001412153	-2.352860451	-0.319523124	-0.147967671
-9.91	1.228954792	21.73811913	0.019985382	-5.27E-02	-1.017476916	-2.337652206	-0.318004875	-0.14789239
-9.9	1.247932434	21.8151226	0.019014459	-5.02E-02	-1.033561587	-2.322685242	-0.316501645	-0.147817467
-9.89	1.26725781	21.89159775	0.018067833	-4.77E-02	-1.049672365	-2.30796051	-0.315013437	-0.147742604
-9.88	1.286917567	21.96746063	0.017146124	-4.53E-02	-1.06579721	-2.293497086	-0.313541917	-0.147668038
-9.87	1.306928396	22.04276085	0.01624855	-4.30E-02	-1.081948519	-2.279291868	-0.312086372	-0.14759383
-9.86	1.327276468	22.11741638	0.015375683	-4.07E-02	-1.098114491	-2.26536274	-0.310647516	-0.147519682
-9.85	1.34797895	22.19147301	0.014526773	-3.85E-02	-1.114307523	-2.251707077	-0.309224634	-0.147446011
-9.84	1.369021654	22.26485252	0.013702372	-3.63E-02	-1.130515337	-2.238343	-0.307819394	-0.147372459
-9.83	1.390413761	22.33756828	0.01290205	-3.42E-02	-1.146744371	-2.22527194	-0.306431798	-0.147299264
-9.82	1.412165165	22.40962791	0.012125421	-3.21E-02	-1.163001061	-2.212497234	-0.305059938	-0.147226249
-9.81	1.434261203	22.48096275	0.011372985	-3.01E-02	-1.179273367	-2.200036049	-0.303706674	-0.147153471
-9.8	1.456719756	22.55160522	0.01064407	-2.81E-02	-1.195573688	-2.187886477	-0.302371291	-0.147080873
-9.79	1.479525566	22.62149048	0.00993914	-2.62E-02	-1.211889744	-2.176065445	-0.301054267	-0.147008572
-9.78	1.502697468	22.69064713	0.009257559	-2.43E-02	-1.22823453	-2.164571047	-0.299755124	-0.14693663
-9.77	1.526219249	22.75901413	0.008599746	-2.25E-02	-1.244595528	-2.153419972	-0.298475293	-0.146864746
-9.76	1.550110698	22.82661438	0.007965116	-2.08E-02	-1.260985375	-2.142611504	-0.297213582	-0.146793221
-9.75	1.574354649	22.89339066	0.007354049	-1.91E-02	-1.277391911	-2.132160664	-0.295971183	-0.146721934
-9.74	1.598962188	22.95934105	0.0067662	-1.75E-02	-1.293821573	-2.122071505	-0.294748573	-0.146650766
-9.73	1.623944163	23.02448082	0.006201273	-1.59E-02	-1.3102808	-2.112347603	-0.293545036	-0.146579836
-9.72	1.649283171	23.08874321	0.005659591	-1.44E-02	-1.326757193	-2.103004217	-0.292361764	-0.146509264
